city,model,topology,protocol,n,mean_diff,ci_lo,ci_hi,verdict
beijing,GCN-Transformer,distance,seed 42 (primaire),12,-0.01813279896211008,-0.02914697002144847,-0.009506882526331804,NON CONCLUANT (IC chevauche la frontière de la marge)
beijing,GCN-Transformer,correlation,seed 42 (primaire),12,-0.04055957810544403,-0.06179498947490932,-0.022188265814706815,NON ÉQUIVALENT — dégrade au-delà de la marge
london,GCN-Transformer,distance,seed 42 (primaire),8,-0.7015505179532563,-1.1421957994396925,-0.33572871829075823,NON ÉQUIVALENT — dégrade au-delà de la marge
london,GCN-Transformer,correlation,seed 42 (primaire),8,-0.8087616171082339,-1.2978557124928902,-0.4176995840641484,NON ÉQUIVALENT — dégrade au-delà de la marge
madrid,GCN-Transformer,distance,seed 42 (primaire),7,-0.29086094593168055,-0.3906420191029326,-0.22057476238329277,NON ÉQUIVALENT — dégrade au-delà de la marge
madrid,GCN-Transformer,correlation,seed 42 (primaire),7,-0.39179838822643276,-0.5225594772598904,-0.27074339483932786,NON ÉQUIVALENT — dégrade au-delà de la marge
czt,GCN-Transformer,distance,seed 42 (primaire),20,-0.021584526380057024,-0.024602370158468882,-0.018542549679719546,NON CONCLUANT (IC chevauche la frontière de la marge)
czt,GCN-Transformer,correlation,seed 42 (primaire),20,-0.03094524638021163,-0.03512923896801728,-0.026803050264650796,NON ÉQUIVALENT — dégrade au-delà de la marge
beijing,stgcn,correlation,"2-seeds (123/777, moy./station)",12,0.007861775120272155,0.004871334153455767,0.010388485980688028,ÉQUIVALENT (IC entièrement dans ±0.02)
beijing,graphwavenet,correlation,"2-seeds (123/777, moy./station)",12,0.010089396894150901,0.008315424131652758,0.01158232439960634,ÉQUIVALENT (IC entièrement dans ±0.02)
london,stgcn,correlation,"2-seeds (123/777, moy./station)",8,-0.014837439529485984,-0.03100150231087563,0.0009512513910495767,NON CONCLUANT (IC chevauche la frontière de la marge)
london,graphwavenet,correlation,"2-seeds (123/777, moy./station)",8,-0.0033403443022444537,-0.012983967897036191,0.0048920733911092485,ÉQUIVALENT (IC entièrement dans ±0.02)
madrid,stgcn,correlation,seed 42 (primaire),7,-0.019505425895261226,-0.06645703903063868,0.009900199152253772,NON CONCLUANT (IC chevauche la frontière de la marge)
madrid,graphwavenet,correlation,seed 42 (primaire),7,0.004616352456658764,0.0015177898315865532,0.007684458862400245,ÉQUIVALENT (IC entièrement dans ±0.02)
