city,station,h_i,n_neighbors,delta_r2_distance,delta_r2_correlation
beijing,Aotizhongxin,0.06273950997836408,5,-0.01150355459777952,-0.010757276584972386
beijing,Changping,0.14331163543072611,5,-0.016405549715231227,-0.023864169039602978
beijing,Dingling,0.13657836302371873,5,-0.06826241855708126,-0.12519395262076927
beijing,Dongsi,0.04733061375793979,5,-0.012676556857050603,-0.015354031262302614
beijing,Guanyuan,0.04542933635705404,5,-0.020795166814381205,-0.017828794878767984
beijing,Gucheng,0.0892344717949829,5,-0.03857059287547926,-0.08623732701019649
beijing,Huairou,0.13754614418641853,5,-0.002287395725243613,-0.0704307750236306
beijing,Nongzhanguan,0.057565062782829246,5,-0.010957625731830012,-0.014749775192488435
beijing,Shunyi,0.11175356590833552,5,0.0018657266547595919,-0.06292663099400109
beijing,Tiantan,0.049244623342374005,5,-0.011494583865344632,-0.013731082616072032
beijing,Wanliu,0.06601671522651953,5,-0.014349119442242486,-0.026972158655156453
beijing,Wanshouxigong,0.06287262741811828,5,-0.012156750018416762,-0.01866896338736801
czt,1335A,0.06035204554225326,5,-0.011393349726199542,-0.02672756213559835
czt,1336A,0.07443667849051427,5,-0.01789516371502642,-0.029870057259303917
czt,1337A,0.061759720648977834,5,-0.013687636872232734,-0.018644719473425386
czt,1338A,0.07140684178133028,5,-0.031011435811367782,-0.029858342477294797
czt,1339A,0.05883211974448577,5,-0.01963972950736448,-0.03331167128946122
czt,1340A,0.07782342379809104,5,-0.020717390934391067,-0.04406556671656159
czt,1341A,0.06928342211906424,5,-0.01507304379691865,-0.0239110758688994
czt,1342A,0.059948480987871866,5,-0.025943901377905587,-0.047253106458413185
czt,1343A,0.07411655320576604,5,-0.01452706449721819,-0.0362846500377062
czt,1508A,0.057833642479679925,5,-0.032441986725510796,-0.033352194874297414
czt,1511A,0.05344371056602293,5,-0.022874579340407375,-0.02343222931669242
czt,1512A,0.05924118089824648,5,-0.0282978467031898,-0.03022381307854105
czt,1513A,0.06143936776061043,5,-0.01955656211866763,-0.02726883638953226
czt,1514A,0.07065823021884499,5,-0.03142233423592278,-0.03846758541274542
czt,1515A,0.06556464969165321,5,-0.02536336260310912,-0.025373858601556942
czt,1518A,0.07317882011170007,5,-0.023191616214360056,-0.044609559434069856
czt,1519A,0.07179993961003217,5,-0.010254673104917567,-0.01264621537359445
czt,1520A,0.07287286654374392,5,-0.026281415549259002,-0.025431550129833558
czt,1524A,0.06471690488606563,5,-0.028811186942153566,-0.02005017568050438
czt,1562A,0.06839491024298128,5,-0.013306247825018325,-0.048122157596200754
london,BL0,0.4288970595006424,5,-1.3585936072347196,-0.8422915880758886
london,BT4,0.503383200028591,5,-0.2914648825150074,-0.23892561246476063
london,CT3,0.4214233252533689,5,-1.9116840211617858,-2.2200893268199686
london,GN0,0.35895498729490305,5,-0.9373463274720718,-1.0372684571538113
london,KC1,0.2792820646142903,5,-0.190205262717695,-0.21546067416310377
london,LH0,0.3677303189639749,5,-0.3346470331217577,-1.1912812933843138
london,RB7,0.4012681020831943,5,-0.20365697233004076,-0.3120687743956579
london,TH4,0.3839758379733108,5,-0.38480603707297173,-0.41270721040836694
madrid,CASA DE CAMPO,0.538265349164022,5,-0.24505233825604905,-0.4572323374644314
madrid,CASTELLANA,0.4675131855304404,5,-0.5700142222555276,-0.7283907579232185
madrid,CUATRO CAMINOS-PABLO,0.5303568734797994,5,-0.27808410349353063,-0.3302455714044395
madrid,ESCUELAS AGUIRRE,0.5526390514381899,5,-0.2943226630959285,-0.3513801271975808
madrid,MENDEZ ALVARO,,0,-0.16347682881876036,-0.13377504701085874
madrid,PLAZA CASTILLA-CANAL,0.5625360336839527,5,-0.24188853693146306,-0.28069207954138303
madrid,PLAZA ELÍPTICA,0.47830622910370346,5,-0.2431879286705046,-0.4608727970431176
