datetime,TEMP,PRES,DEWP,WSPM
2020-01-01 00:00:00,4.6,1023.4,1.0,2.3
2020-01-01 01:00:00,5.3,1023.7,1.3,3.0
2020-01-01 02:00:00,5.9,1023.7,1.9,5.4
2020-01-01 03:00:00,7.0,1023.1,2.7,4.6
2020-01-01 04:00:00,8.1,1021.8,3.7,4.3
2020-01-01 05:00:00,9.5,1020.0,4.7,4.6
2020-01-01 06:00:00,10.4,1018.8,5.4,4.2
2020-01-01 07:00:00,10.9,1018.0,5.8,1.8
2020-01-01 08:00:00,10.9,1018.1,6.1,4.5
2020-01-01 09:00:00,10.1,1018.4,6.1,8.2
2020-01-01 10:00:00,9.6,1018.6,6.2,10.2
2020-01-01 11:00:00,9.3,1019.2,6.3,9.4
2020-01-01 12:00:00,8.1,1019.2,6.3,8.0
2020-01-01 13:00:00,7.6,1019.5,6.3,9.0
2020-01-01 14:00:00,7.4,1020.1,6.3,10.3
2020-01-01 15:00:00,7.4,1020.6,6.1,11.3
2020-01-01 16:00:00,7.2,1020.6,5.8,12.4
2020-01-01 17:00:00,7.1,1020.6,5.7,12.1
2020-01-01 18:00:00,7.0,1020.4,5.7,11.3
2020-01-01 19:00:00,7.0,1019.9,5.6,11.2
2020-01-01 20:00:00,6.9,1019.9,5.6,12.2
2020-01-01 21:00:00,6.8,1020.1,5.4,11.6
2020-01-01 22:00:00,6.7,1020.5,5.4,11.4
2020-01-01 23:00:00,6.7,1021.0,5.2,12.9
2020-01-02 00:00:00,6.3,1021.9,5.2,11.4
2020-01-02 01:00:00,6.6,1022.6,5.1,12.1
2020-01-02 02:00:00,7.1,1023.2,5.3,12.3
2020-01-02 03:00:00,7.4,1023.2,5.3,13.7
2020-01-02 04:00:00,7.7,1022.2,5.4,12.9
2020-01-02 05:00:00,8.0,1021.3,5.5,12.6
2020-01-02 06:00:00,8.5,1020.5,5.6,12.5
2020-01-02 07:00:00,8.7,1019.9,5.6,12.5
2020-01-02 08:00:00,8.6,1019.8,5.6,12.4
