datetime,BT4,BL0,CT3,GN0,LH0,KC1,RB7,TH4
2020-01-01 00:00:00,0.0,35.6,43.0,3.6,40.2,35.2,45.0,53.766999999999825
2020-01-01 01:00:00,0.0,42.5,43.0,3.6,40.2,36.3,41.0,53.766999999999825
2020-01-01 02:00:00,0.0,42.3,43.0,3.6,40.2,39.6,28.0,50.6
2020-01-01 03:00:00,0.0,43.80400000000009,43.0,3.6,40.2,41.2,34.0,39.4
2020-01-01 04:00:00,0.0,40.4,38.0,3.6,40.2,40.1,31.0,40.3
2020-01-01 05:00:00,0.0,39.6,43.0,3.6,40.2,39.4,25.0,37.0
2020-01-01 06:00:00,0.0,39.5,40.0,3.6,40.2,39.3,28.0,31.1
2020-01-01 07:00:00,0.0,35.0,37.0,3.6,40.2,38.0,25.0,26.9
2020-01-01 08:00:00,0.0,39.3,33.0,3.6,38.8,37.2,25.0,30.7
2020-01-01 09:00:00,0.0,37.1,36.0,3.6,40.2,33.8,28.0,33.4
2020-01-01 10:00:00,0.0,35.9,36.0,3.6,40.2,33.3,27.0,34.4
2020-01-01 11:00:00,0.0,38.1,31.0,3.6,39.0,35.1,29.0,32.6
2020-01-01 12:00:00,0.0,39.0,38.0,3.6,30.5,35.4,29.0,31.4
2020-01-01 13:00:00,0.0,38.8,40.0,3.6,26.6,36.0,35.0,38.4
2020-01-01 14:00:00,0.0,32.7,37.0,3.6,28.0,36.7,28.0,37.3
2020-01-01 15:00:00,0.0,29.9,35.0,3.6,27.7,29.8,33.0,37.9
2020-01-01 16:00:00,0.0,31.8,33.0,3.6,21.9,23.8,32.0,33.9
2020-01-01 17:00:00,0.0,30.5,32.0,3.6,15.4,23.7,32.0,32.7
2020-01-01 18:00:00,0.0,30.8,36.0,3.6,19.6,30.1,36.0,31.0
2020-01-01 19:00:00,0.0,27.7,31.0,3.6,27.9,27.6,32.0,31.4
2020-01-01 20:00:00,0.0,24.8,28.0,3.6,22.3,20.8,25.0,28.6
2020-01-01 21:00:00,0.0,24.4,29.0,3.6,25.9,21.3,24.0,22.5
2020-01-01 22:00:00,0.0,22.5,26.0,3.6,26.0,20.0,21.0,22.4
2020-01-01 23:00:00,0.0,19.7,24.0,3.6,24.8,18.6,23.0,21.1
2020-01-02 00:00:00,0.0,17.7,14.0,3.6,18.1,14.4,16.0,14.5
2020-01-02 01:00:00,0.0,14.1,14.0,3.6,13.9,11.7,12.0,8.3
2020-01-02 02:00:00,0.0,14.2,11.0,3.6,15.2,11.3,9.0,9.4
2020-01-02 03:00:00,0.0,10.7,14.0,3.6,14.6,11.3,6.0,8.5
2020-01-02 04:00:00,0.0,11.7,11.0,3.6,13.2,11.5,9.0,8.5
2020-01-02 05:00:00,0.0,11.4,10.0,3.6,12.9,11.8,9.0,7.0
2020-01-02 06:00:00,0.0,7.9,7.0,3.6,11.0,10.4,8.0,6.3
