datetime,TEMP,PRES,DEWP,WSPM
2020-01-01 00:00:00,1.3,958.6,0.9,7.2
2020-01-01 01:00:00,1.5,958.5,1.0,6.2
2020-01-01 02:00:00,0.7,958.2,0.4,5.4
2020-01-01 03:00:00,0.2,958.5,-0.4,6.6
2020-01-01 04:00:00,-0.6,958.2,-1.2,6.1
2020-01-01 05:00:00,-1.2,957.8,-1.9,6.5
2020-01-01 06:00:00,-1.5,958.0,-2.3,6.4
2020-01-01 07:00:00,-1.6,958.3,-2.6,7.4
2020-01-01 08:00:00,-1.2,958.8,-2.3,6.2
2020-01-01 09:00:00,1.2,960.0,-0.9,5.1
2020-01-01 10:00:00,4.0,960.9,0.6,2.5
2020-01-01 11:00:00,6.3,961.6,2.0,2.3
2020-01-01 12:00:00,7.6,960.6,3.1,2.5
2020-01-01 13:00:00,9.1,959.7,4.1,3.4
2020-01-01 14:00:00,10.1,959.2,4.5,4.7
2020-01-01 15:00:00,10.2,959.0,4.7,5.4
2020-01-01 16:00:00,9.2,959.0,5.3,4.1
2020-01-01 17:00:00,6.2,958.3,3.5,7.6
2020-01-01 18:00:00,7.2,958.7,3.4,4.1
2020-01-01 19:00:00,6.8,958.6,3.3,1.1
2020-01-01 20:00:00,3.6,958.0,2.2,5.2
2020-01-01 21:00:00,1.6,957.9,0.9,7.3
2020-01-01 22:00:00,0.9,957.9,0.5,7.3
2020-01-01 23:00:00,0.6,957.7,0.3,6.2
2020-01-02 00:00:00,0.1,957.4,-0.3,7.3
2020-01-02 01:00:00,-0.4,957.1,-0.7,6.2
2020-01-02 02:00:00,-0.8,957.1,-1.4,5.5
2020-01-02 03:00:00,-1.1,957.2,-2.0,6.5
2020-01-02 04:00:00,-1.5,957.0,-2.7,7.7
2020-01-02 05:00:00,-1.7,957.1,-3.2,8.8
2020-01-02 06:00:00,-1.4,957.5,-3.2,6.8
2020-01-02 07:00:00,-1.6,957.9,-3.5,5.4
2020-01-02 08:00:00,-2.0,958.1,-3.5,5.6
2020-01-02 09:00:00,0.4,959.4,-1.9,3.1
2020-01-02 10:00:00,2.6,960.4,0.6,2.2
2020-01-02 11:00:00,4.8,960.7,2.1,2.4
2020-01-02 12:00:00,6.2,959.9,2.0,3.3
2020-01-02 13:00:00,7.5,959.3,2.5,3.6
2020-01-02 14:00:00,8.4,958.7,2.8,3.5
2020-01-02 15:00:00,8.8,958.4,3.2,3.4
