city,topology,experiment,seed,n_features,gcn_r2,lin_r2,delta_r2
beijing,correlation,no_meteorology,42,1,0.9074,0.9479,-0.0405
beijing,correlation,real,42,5,0.9127,0.9495,-0.0368
beijing,correlation,shuffled_graph,42,5,0.8801,0.9495,-0.0695
beijing,distance,no_meteorology,42,1,0.9219,0.9479,-0.026
beijing,distance,real,42,5,0.9324,0.9495,-0.0171
beijing,distance,shuffled_graph,42,5,0.914,0.9495,-0.0356
london,correlation,no_meteorology,42,1,0.4093,0.8437,-0.4344
london,correlation,real,42,5,0.4435,0.8451,-0.4016
london,correlation,shuffled_graph,42,5,0.3828,0.8451,-0.4623
london,distance,no_meteorology,42,1,0.5144,0.8437,-0.3293
london,distance,real,42,5,0.4854,0.8451,-0.3596
london,distance,shuffled_graph,42,5,0.4756,0.8451,-0.3695
madrid,correlation,no_meteorology,42,1,0.5251,0.8127,-0.2876
madrid,correlation,real,42,5,0.4222,0.8135,-0.3913
madrid,correlation,shuffled_graph,42,5,0.4135,0.8135,-0.4
madrid,distance,no_meteorology,42,1,0.5646,0.8127,-0.248
madrid,distance,real,42,5,0.4853,0.8135,-0.3282
madrid,distance,shuffled_graph,42,5,0.3985,0.8135,-0.415
