city,strategy,keep_frac,draw,seed,effective_degree,mean_message_magnitude,n_edges
beijing,inverse,0.25,,,1.25,0.0318455137312412,15
beijing,inverse,0.75,,,3.75,0.231564462184906,45
beijing,random_matched,0.25,0.0,1001.0,1.25,0.2545651197433471,15
beijing,random_matched,0.25,1.0,1002.0,1.25,0.3082170188426971,15
beijing,random_matched,0.25,2.0,1003.0,1.25,0.440222293138504,15
beijing,random_matched,0.25,3.0,1004.0,1.25,0.3117354810237884,15
beijing,random_matched,0.25,4.0,1005.0,1.25,0.4007138311862945,15
beijing,random_matched,0.75,0.0,1001.0,3.75,0.3232854902744293,45
beijing,random_matched,0.75,1.0,1002.0,3.75,0.3204359412193298,45
beijing,random_matched,0.75,2.0,1003.0,3.75,0.3270441591739654,45
beijing,random_matched,0.75,3.0,1004.0,3.75,0.3339734077453613,45
beijing,random_matched,0.75,4.0,1005.0,3.75,0.35087651014328,45
london,inverse,0.25,,,1.25,0.3176094889640808,10
london,inverse,0.75,,,3.75,0.3365460634231567,30
london,random_matched,0.25,0.0,1001.0,1.25,0.3775337338447571,10
london,random_matched,0.25,1.0,1002.0,1.25,0.2123009711503982,10
london,random_matched,0.25,2.0,1003.0,1.25,0.3745558261871338,10
london,random_matched,0.25,3.0,1004.0,1.25,0.1894625425338745,10
london,random_matched,0.25,4.0,1005.0,1.25,0.1929548680782318,10
london,random_matched,0.75,0.0,1001.0,3.75,0.3297151029109955,30
london,random_matched,0.75,1.0,1002.0,3.75,0.2732569277286529,30
london,random_matched,0.75,2.0,1003.0,3.75,0.3193855881690979,30
london,random_matched,0.75,3.0,1004.0,3.75,0.2931689918041229,30
london,random_matched,0.75,4.0,1005.0,3.75,0.3328361213207245,30
madrid,inverse,0.25,,,1.2857142857142858,0.21191304922103882,9
madrid,inverse,0.75,,,3.7142857142857144,0.2288798987865448,26
madrid,random_matched,0.25,0.0,1001.0,1.2857142857142858,0.3764584362506866,9
madrid,random_matched,0.25,1.0,1002.0,1.2857142857142858,0.1991535127162933,9
madrid,random_matched,0.25,2.0,1003.0,1.2857142857142858,0.2735702097415924,9
madrid,random_matched,0.25,3.0,1004.0,1.2857142857142858,0.2305275797843933,9
madrid,random_matched,0.25,4.0,1005.0,1.2857142857142858,0.1768520474433899,9
madrid,random_matched,0.75,0.0,1001.0,3.7142857142857144,0.2990920841693878,26
madrid,random_matched,0.75,1.0,1002.0,3.7142857142857144,0.2502936124801636,26
madrid,random_matched,0.75,2.0,1003.0,3.7142857142857144,0.2684283852577209,26
madrid,random_matched,0.75,3.0,1004.0,3.7142857142857144,0.2268587499856948,26
madrid,random_matched,0.75,4.0,1005.0,3.7142857142857144,0.2542674541473388,26
