city,model,seed,R2_aggregate,r2_linear_ref,beats_linear,n_edges,n_isolated_nodes
beijing,graphwavenet,42,0.9609,0.9495,True,60,0
beijing,graphwavenet,123,0.9578,0.9495,True,60,0
beijing,graphwavenet,777,0.9609,0.9495,True,60,0
beijing,stgcn,42,0.9598,0.9495,True,60,0
beijing,stgcn,123,0.957,0.9495,True,60,0
beijing,stgcn,777,0.9573,0.9495,True,60,0
london,graphwavenet,42,0.8396,0.8451,False,40,0
london,graphwavenet,123,0.8517,0.8451,True,40,0
london,graphwavenet,777,0.8362,0.8451,False,40,0
london,stgcn,42,0.8479,0.8451,True,40,0
london,stgcn,123,0.8415,0.8451,False,40,0
london,stgcn,777,0.837,0.8451,False,40,0
madrid,graphwavenet,42,0.8183,0.8135,True,30,1
madrid,graphwavenet,123,0.8194,0.8135,True,30,1
madrid,graphwavenet,777,0.8202,0.8135,True,30,1
madrid,stgcn,42,0.791,0.8135,False,30,1
madrid,stgcn,123,0.7844,0.8135,False,30,1
madrid,stgcn,777,0.8133,0.8135,False,30,1
