city,topology,k,delta_R2_mean,delta_R2_std
beijing,correlation,3,-0.0289,0.0028
beijing,correlation,5,-0.0375,0.0008
beijing,correlation,8,-0.0553,0.0011
beijing,distance,3,-0.0138,0.0021
beijing,distance,5,-0.0172,0.0001
beijing,distance,8,-0.0206,0.0019
london,correlation,3,-0.3471,0.0144
london,correlation,5,-0.4014,0.0061
london,correlation,8,-0.5059,0.0288
london,distance,3,-0.3296,0.0128
london,distance,5,-0.3754,0.0258
london,distance,8,-0.3944,0.0145
madrid,correlation,3,-0.3463,0.0058
madrid,correlation,5,-0.3795,0.0175
madrid,correlation,8,-0.4566,0.0301
madrid,distance,3,-0.3045,0.0196
madrid,distance,5,-0.3213,0.0061
madrid,distance,8,-0.3711,0.0044
